correlated_taxa	correlation	selection_method	taxa
Christensenellaceae_R-7_group	negative	abundance	Veillonella
Ruminococcaceae_UCG-005	negative	abundance	Veillonella
Anaerotruncus	negative	abundance	Veillonella
Blautia	negative	coverage	Veillonella
Dorea	negative	coverage	Veillonella
Anaerostipes	negative	coverage	Veillonella
Ruminococcaceae_UCG-002	negative	coverage	Veillonella
Lactococcus	negative	coverage	Veillonella
Bifidobacterium	negative	coverage	Veillonella
Fusicatenibacter	negative	coverage	Veillonella
Erysipelotrichaceae_UCG-003	negative	coverage	Veillonella
Butyricimonas	negative	coverage	Veillonella
Ruminococcaceae_UCG-010	negative	coverage	Veillonella
Ruminococcaceae_UCG-005	negative	coverage	Veillonella
Anaerotruncus	negative	coverage	Veillonella
Blautia	positive	abundance	Blautia
Anaerostipes	positive	abundance	Blautia
Dorea	positive	abundance	Blautia
Fusicatenibacter	positive	abundance	Blautia
Erysipelotrichaceae_UCG-003	positive	abundance	Blautia
Romboutsia	positive	abundance	Blautia
Clostridium_sensu_stricto_1	positive	abundance	Blautia
Turicibacter	positive	abundance	Blautia
Bifidobacterium	positive	abundance	Blautia
Lactococcus	positive	abundance	Blautia
Gemella	positive	abundance	Blautia
Blautia	positive	coverage	Blautia
Anaerostipes	positive	coverage	Blautia
Dorea	positive	coverage	Blautia
Fusicatenibacter	positive	coverage	Blautia
Enterococcus	positive	coverage	Blautia
Lactococcus	positive	coverage	Blautia
Bifidobacterium	positive	coverage	Blautia
Gemella	positive	coverage	Blautia
Intestinibacter	positive	coverage	Blautia
Romboutsia	positive	coverage	Blautia
Turicibacter	positive	coverage	Blautia
Clostridium_sensu_stricto_1	positive	coverage	Blautia
Ruminococcaceae_UCG-002	negative	abundance	Blautia
Ruminococcaceae_UCG-005	negative	abundance	Blautia
Ruminococcaceae_UCG-010	negative	abundance	Blautia
Ruminococcaceae_NK4A214_group	negative	abundance	Blautia
Christensenellaceae_R-7_group	negative	abundance	Blautia
Methanobrevibacter	negative	abundance	Blautia
Veillonella	negative	abundance	Blautia
Lachnoclostridium	negative	abundance	Blautia
Ruminococcaceae_UCG-014	negative	abundance	Blautia
Ruminococcaceae_UCG-002	negative	coverage	Blautia
Ruminococcaceae_UCG-005	negative	coverage	Blautia
Ruminococcaceae_UCG-010	negative	coverage	Blautia
Ruminococcaceae_NK4A214_group	negative	coverage	Blautia
Christensenellaceae_R-7_group	negative	coverage	Blautia
Ruminococcus_1	negative	coverage	Blautia
Lachnoclostridium	negative	coverage	Blautia
Ruminococcaceae_UCG-014	negative	coverage	Blautia
Ruminiclostridium_6	negative	coverage	Blautia
Parasutterella	negative	coverage	Blautia
Veillonella	negative	coverage	Blautia
Bacteroides	positive	abundance	Anaerostipes
Dorea	positive	abundance	Anaerostipes
Anaerostipes	positive	abundance	Anaerostipes
Ruminococcaceae_UCG-013	positive	abundance	Anaerostipes
Marvinbryantia	positive	abundance	Anaerostipes
Clostridium_sensu_stricto_1	positive	abundance	Anaerostipes
Romboutsia	positive	abundance	Anaerostipes
Lachnospiraceae_FCS020_group	positive	abundance	Anaerostipes
Blautia	positive	coverage	Anaerostipes
Anaerostipes	positive	coverage	Anaerostipes
Dorea	positive	coverage	Anaerostipes
Fusicatenibacter	positive	coverage	Anaerostipes
Enterococcus	positive	coverage	Anaerostipes
Lactococcus	positive	coverage	Anaerostipes
Bifidobacterium	positive	coverage	Anaerostipes
Gemella	positive	coverage	Anaerostipes
Intestinibacter	positive	coverage	Anaerostipes
Romboutsia	positive	coverage	Anaerostipes
Turicibacter	positive	coverage	Anaerostipes
Clostridium_sensu_stricto_1	positive	coverage	Anaerostipes
Ruminococcaceae_UCG-002	negative	abundance	Anaerostipes
Ruminococcaceae_UCG-005	negative	abundance	Anaerostipes
Ruminococcaceae_UCG-010	negative	abundance	Anaerostipes
Ruminococcaceae_NK4A214_group	negative	abundance	Anaerostipes
Christensenellaceae_R-7_group	negative	abundance	Anaerostipes
Methanobrevibacter	negative	abundance	Anaerostipes
Veillonella	negative	abundance	Anaerostipes
Lachnoclostridium	negative	abundance	Anaerostipes
Ruminococcaceae_UCG-014	negative	abundance	Anaerostipes
Ruminococcaceae_UCG-002	negative	coverage	Anaerostipes
Ruminococcaceae_UCG-005	negative	coverage	Anaerostipes
Ruminococcaceae_UCG-010	negative	coverage	Anaerostipes
Ruminococcaceae_NK4A214_group	negative	coverage	Anaerostipes
Christensenellaceae_R-7_group	negative	coverage	Anaerostipes
Ruminococcus_1	negative	coverage	Anaerostipes
Lachnoclostridium	negative	coverage	Anaerostipes
Ruminococcaceae_UCG-014	negative	coverage	Anaerostipes
Ruminiclostridium_6	negative	coverage	Anaerostipes
Parasutterella	negative	coverage	Anaerostipes
Veillonella	negative	coverage	Anaerostipes
